timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-09-14T17:30:14,codecarbon,a2f89ba7-39bd-4696-8cac-fe5fb590ed87,3.365061044692993,1.3364522046513028e-07,3.971554117150443e-05,5.0,0.0,6.0,4.673149850633409e-06,0,5.607251723607381e-06,1.028040157424079e-05,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-14T17:30:35,codecarbon,e8634086-a469-4287-8fdd-6820ef7cb615,0.2509620189666748,9.952122502856784e-09,3.965589113378278e-05,5.0,0.0,6.0,3.4819973839653864e-07,0,4.1734814643859865e-07,7.655478848351373e-07,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:09:35,codecarbon,217ad67a-18ca-41f0-9fa7-50d164b3c3a2,0.0251808166503906,9.19141968091329e-10,3.650167430439832e-05,5.0,0.0,6.0,3.329018751780192e-08,0,3.7413040796915694e-08,7.070322831471762e-08,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:56:49,codecarbon,4ef60cf3-bd0f-41fd-a8ae-6a45c19c5cb4,0.0650539398193359,2.562159366077847e-09,3.938515289301968e-05,5.0,0.0,6.0,8.982386853959827e-08,0,1.0726531346638997e-07,1.9708918200598826e-07,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:56:52,codecarbon,8acc31fc-3a86-4edc-94e5-bd678e27ec63,0.0074110031127929,2.6980896790822353e-10,3.640653819757218e-05,5.0,0.0,6.0,9.601314862569176e-09,0,1.1153221130371094e-08,2.0754535992940272e-08,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:57:04,codecarbon,32e86d3b-2679-463a-ab83-7e7e01098092,0.0166997909545898,6.445598602294923e-10,3.859688195991092e-05,5.0,0.0,6.0,2.2838513056437177e-08,0,2.6743014653523762e-08,4.958152770996095e-08,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:57:54,codecarbon,42289713-60d9-482e-a51c-6c519d17efd4,0.0179400444030761,6.88268012470669e-10,3.836490016449749e-05,5.0,0.0,6.0,2.438194221920437e-08,0,2.856175104777018e-08,5.294369326697455e-08,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:57:54,codecarbon,3c8123c5-bf46-4a38-a998-92e1500f07db,0.0072941780090332,2.7228766017489955e-10,3.732945094535603e-05,5.0,0.0,6.0,9.726815753512912e-09,0,1.1218388875325521e-08,2.0945204628838443e-08,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:57:56,codecarbon,c49cc451-722f-4f9c-ab78-f7ada092d6cb,0.0160629749298095,5.994974242316352e-10,3.732169332587898e-05,5.0,0.0,6.0,2.1388795640733508e-08,0,2.4726390838623053e-08,4.611518647935655e-08,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T18:58:51,codecarbon,f88cca5f-d7d1-48ed-b433-41bff2ad5a07,43.75584983825684,1.737894201146232e-06,3.9717985311000575e-05,5.0,0.0,6.0,6.076855129665798e-05,0,7.291561802228292e-05,0.0001336841693189,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T19:00:01,codecarbon,29d0c90a-f3d7-404f-bc90-903e057bfb6e,10.0380539894104,3.986124405595992e-07,3.971013116487654e-05,5.0,0.0,6.0,1.3939197195900811e-05,0,1.6723298231760663e-05,3.066249542766147e-05,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T19:04:39,codecarbon,18266026-e250-4b55-aea6-4c62eccaf69c,7.9351091384887695,3.151453041368061e-07,3.971530808671714e-05,5.0,0.0,6.0,1.1019730899069043e-05,0,1.322221557299296e-05,2.4241946472062007e-05,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T19:09:39,codecarbon,e3d8cc6c-5b57-4395-a112-2b6df3f985b0,0.1037051677703857,4.1023743152618424e-09,3.955805099650322e-05,5.0,0.0,6.0,1.4364719390869141e-07,0,1.7192006111145024e-07,3.155672550201416e-07,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T19:14:58,codecarbon,4f4c2f86-3ebb-47b2-8474-5f1229ccc9c9,24.52976632118225,9.743158111969631e-07,3.971973472717552e-05,5.0,0.0,6.0,3.4067784746487936e-05,0,4.087958534558614e-05,7.494737009207408e-05,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T19:15:18,codecarbon,40760540-4835-4ea6-9d11-461d791a9cd6,3.32820200920105,1.3218792504734465e-07,3.971751855263045e-05,5.0,0.0,6.0,4.622164037492541e-06,0,5.546137889226278e-06,1.016830192671882e-05,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T19:15:31,codecarbon,6eff9341-bcae-46d8-8c9b-3c177ab62dba,0.2266039848327636,8.957597812016808e-09,3.952974533359428e-05,5.0,0.0,6.0,3.138025601704916e-07,0,3.752434253692627e-07,6.890459855397543e-07,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
2022-09-15T20:06:34,codecarbon,4a4b31f2-2ad8-4470-be45-4aa47e4ff86b,1.0980868339538574,4.3547067377302393e-08,3.965721656137466e-05,5.0,0.0,6.0,1.523569557401869e-06,0,1.826204856236776e-06,3.349774413638645e-06,Sweden,SWE,skåne county,,,macOS-12.2.1-x86_64-i386-64bit,3.8.9,8,Apple M1,,,13.8518,56.2151,16.0,machine,N
